in-plane magnitude,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.0,-3.4397842995902257e-07,3.423664731881357e-07,-2.907944499610664e-05,-1.2330304940586966e-05,-3.436556501951168e-07,3.420328173156232e-07,3.8068401086335374e-10,3.501726338304301e-10,27,25,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,-1.622832879493566e-09,5.172438396063799e-10,6.8568846751074e-07,5.172438396063799e-10,-0.0023667203932785227,0.000754344447585635
0.005,-3.430273411354164e-07,3.423910057991145e-07,-3.346591464813801e-05,-1.6335613280588096e-05,-3.430455996819496e-07,3.423497169852582e-07,3.3085068680593665e-10,4.694091997865448e-10,27,25,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,-6.95882696691366e-10,5.742884064685655e-10,6.853953166672078e-07,5.742884064685655e-10,-0.0010153012134298698,0.0008378941152673133
0.01,-3.430401232666224e-07,3.438574028045836e-07,-3.469688281210076e-05,-1.8137338062799477e-05,-3.429664050515151e-07,3.439701046066293e-07,3.9994008806017053e-10,3.4584705029125566e-10,27,25,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,1.0036995551142059e-09,5.287364714418131e-10,6.869365096581444e-07,5.287364714418131e-10,0.001461124195617,0.0007697029178142434
0.015,-3.405774002851227e-07,3.434719779172509e-07,-3.2320115039498376e-05,-1.5006384495436234e-05,-3.402647508853514e-07,3.431921116129239e-07,6.414661151456396e-10,3.689400364401127e-10,27,25,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,2.9273607275724952e-09,7.399969779454985e-10,6.834568624982753e-07,7.399969779454985e-10,0.004283168241038596,0.0010827366090492376
0.02,-3.37696292563962e-07,3.420305749246047e-07,-3.136944591517789e-05,-1.4244848659646836e-05,-3.375911776944212e-07,3.4183418363326085e-07,4.992468012540756e-10,2.290286249130701e-10,27,25,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,4.2430059388396574e-09,5.492735926585205e-10,6.794253613276821e-07,5.492735926585205e-10,0.0062449919893309445,0.0008084542241625579
0.025,-3.348237451105704e-07,3.404755879296655e-07,-3.2207570705041654e-05,-1.4388069179730383e-05,-3.3472837303242925e-07,3.404407266213844e-07,4.723780548391154e-10,3.2009746555338315e-10,27,25,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,5.7123535889551655e-09,5.706166963446527e-10,6.751690996538137e-07,5.706166963446527e-10,0.008460626518429411,0.0008451765924585759
0.03,-3.315374349421042e-07,3.38562579499314e-07,-3.3151091879394434e-05,-1.4752729668560432e-05,-3.31208193193186e-07,3.382899592467855e-07,3.7320862886308036e-10,3.9840753069566813e-10,27,25,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,7.0817660535994856e-09,5.459058903995085e-10,6.694981524399715e-07,5.459058903995085e-10,0.010577723071811538,0.000815441279077891
0.035,-3.287397154877632e-07,3.371480789302856e-07,-3.674452071909044e-05,-1.8181117619884218e-05,-3.287680635850388e-07,3.370835053753849e-07,4.0164939253916844e-10,2.9550447381223057e-10,27,25,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,8.315441790346105e-09,4.986432879024105e-10,6.658515689604237e-07,4.986432879024105e-10,0.012488431623475458,0.0007489389438536007
0.04,-3.2372447039574497e-07,3.334041869205659e-07,-3.774310012239339e-05,-1.9285835750338868e-05,-3.237809665193e-07,3.332891841514914e-07,5.427293449243184e-10,2.6887004157496067e-10,27,27,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,9.508217632191432e-09,6.056783313760703e-10,6.570701506707914e-07,6.056783313760703e-10,0.014470627865966305,0.000921882909577027
0.045,-3.192648287385129e-07,3.292371870115354e-07,-3.7770117898987576e-05,-2.0353823711880724e-05,-3.190566031548616e-07,3.2924934810546e-07,4.4341675087733165e-10,2.7542584362371425e-10,25,27,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,1.0192744950598357e-08,5.219940711295908e-10,6.483059512603216e-07,5.219940711295908e-10,0.015722121524233162,0.0008052657556330121
0.05,-3.140869425719415e-07,3.24951083455575e-07,-3.986604666638871e-05,-2.169692749650119e-05,-3.135802039525983e-07,3.2496078935395725e-07,4.4254577307079854e-10,2.1065536592041688e-10,25,27,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-092.hdf5,1.138058540135893e-08,4.901249273949402e-10,6.385409933065556e-07,4.901249273949402e-10,0.017822795279637205,0.0007676919272873779
