VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate 21 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.0,-3.706336965081912e-06,3.6905678661962473e-06,7.11396084260377e-05,6.971260721923911e-05,-3.708517260876171e-06,3.692174858803325e-06,2.179317351473084e-09,1.3644405046958275e-09,43,41,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-1.6342402072846135e-08,2.571210222694026e-09,7.400692119679496e-06,2.571210222694026e-09,-0.0022082261778448202,0.0003474291931152763
0.005,-3.709125538457829e-06,3.694277178170431e-06,7.294919821180943e-05,7.196690490987419e-05,-3.709562372296858e-06,3.693358417645457e-06,1.7611504856186395e-09,1.3751593433351012e-09,43,41,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-1.620395465140105e-08,2.2344382409358726e-09,7.402920789942315e-06,2.2344382409358726e-09,-0.0021888596556937246,0.0003018327032056175
0.01,-3.710518720286256e-06,3.692355320215336e-06,7.20459441884255e-05,7.124749030956955e-05,-3.7104688806460846e-06,3.691200561087183e-06,1.996314533855495e-09,1.5651906378454143e-09,43,41,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-1.9268319558901485e-08,2.5367485982811968e-09,7.401669441733268e-06,2.5367485982811968e-09,-0.002603239675938483,0.0003427277067460611
0.015,-3.702620665150647e-06,3.680348675005488e-06,6.817200204337358e-05,6.778872769188518e-05,-3.702792411444193e-06,3.6810986482139774e-06,1.19886773283946e-09,1.5424394236509242e-09,41,41,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-2.1693763230215584e-08,1.9535616746026275e-09,7.3838910596581704e-06,1.9535616746026275e-09,-0.002937985278349959,0.00026457190255596563
0.02,-3.691089448566534e-06,3.666176987088007e-06,7.093043350726467e-05,7.114886656374884e-05,-3.6913692847017104e-06,3.666342058869721e-06,1.413676364568118e-09,1.3231286401690204e-09,41,41,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-2.5027225831989376e-08,1.9362722593101546e-09,7.357711343571431e-06,1.9362722593101546e-09,-0.0034014960173527503,0.0002631638250492275
0.025,-3.674906841376488e-06,3.646153756938346e-06,7.003068336022848e-05,7.023283328166616e-05,-3.674871094131949e-06,3.645754015716045e-06,1.2765840813116387e-09,1.2212706821455475e-09,41,41,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-2.911707841590395e-08,1.766683049029036e-09,7.320625109847994e-06,1.766683049029036e-09,-0.003977403292614248,0.0002413314432435142
0.03,-3.651830041714953e-06,3.619258636552976e-06,7.032194666466381e-05,7.081022759332946e-05,-3.651976777498733e-06,3.620117608466376e-06,1.3027809264468388e-09,1.5143062226076255e-09,41,41,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-3.1859169032356737e-08,1.9975889162041973e-09,7.272094385965109e-06,1.9975889162041973e-09,-0.0043810169865016926,0.00027469501635443906
0.035,-3.621471026567816e-06,3.5882273016791684e-06,7.11969006021812e-05,7.19044388870548e-05,-3.620704175949052e-06,3.588162179868548e-06,1.1085906810370303e-09,1.749985397752772e-09,41,41,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-3.2541996080504116e-08,2.0715748092767673e-09,7.2088663558176e-06,2.0715748092767673e-09,-0.00451416276489056,0.0002873677793217345
0.04,-3.5822616670980165e-06,3.551970179814356e-06,7.080525191135217e-05,7.128213352419863e-05,-3.5818457515089548e-06,3.5518641979502328e-06,1.403131108147145e-09,1.9437479057754096e-09,41,41,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-2.998155355872202e-08,2.3972761267439604e-09,7.133709949459187e-06,2.3972761267439604e-09,-0.004202799633169127,0.0003360519723689236
0.045,-3.5320989313890817e-06,3.509925366971517e-06,7.354609612666958e-05,7.388704466711112e-05,-3.531147906146174e-06,3.508545514548176e-06,1.3892728699507595e-09,1.921353672789485e-09,43,41,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-2.260239159799795e-08,2.3710080225766555e-09,7.03969342069435e-06,2.3710080225766555e-09,-0.0032107068088440415,0.0003368073155724514
0.05,-3.471518270918509e-06,3.463970137091449e-06,7.464981459994212e-05,7.462141479140499e-05,-3.471283572950165e-06,3.463369879980124e-06,1.4863223744530901e-09,1.999653232290413e-09,43,41,-3.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-298.hdf5,-7.91369297004084e-09,2.4915391327870746e-09,6.934653452930289e-06,2.4915391327870746e-09,-0.0011411807415836839,0.00035928843049703047
